Descritpion_ID,Top_20_Image_IDs
0.txt,942.jpg 36.jpg 1231.jpg 1743.jpg 359.jpg 1131.jpg 292.jpg 1862.jpg 1698.jpg 1816.jpg 760.jpg 124.jpg 484.jpg 1026.jpg 1258.jpg 95.jpg 50.jpg 1092.jpg 949.jpg 1105.jpg 
1.txt,1529.jpg 1156.jpg 1341.jpg 833.jpg 589.jpg 948.jpg 435.jpg 542.jpg 809.jpg 753.jpg 1337.jpg 1417.jpg 1929.jpg 758.jpg 1071.jpg 1907.jpg 1753.jpg 956.jpg 1489.jpg 562.jpg 
2.txt,184.jpg 1124.jpg 649.jpg 1840.jpg 1866.jpg 445.jpg 1665.jpg 1724.jpg 720.jpg 1955.jpg 1107.jpg 1713.jpg 953.jpg 159.jpg 1089.jpg 598.jpg 934.jpg 327.jpg 283.jpg 883.jpg 
3.txt,800.jpg 1035.jpg 1486.jpg 1922.jpg 397.jpg 1865.jpg 836.jpg 654.jpg 75.jpg 1513.jpg 799.jpg 930.jpg 1609.jpg 1514.jpg 390.jpg 1716.jpg 469.jpg 1121.jpg 872.jpg 1135.jpg 
4.txt,292.jpg 36.jpg 1743.jpg 1231.jpg 1131.jpg 359.jpg 942.jpg 1535.jpg 1135.jpg 1429.jpg 1218.jpg 897.jpg 152.jpg 1660.jpg 141.jpg 1258.jpg 1698.jpg 1117.jpg 484.jpg 95.jpg 
5.txt,1888.jpg 1426.jpg 274.jpg 492.jpg 614.jpg 330.jpg 1322.jpg 334.jpg 699.jpg 887.jpg 46.jpg 1696.jpg 1968.jpg 814.jpg 1693.jpg 51.jpg 354.jpg 1830.jpg 703.jpg 554.jpg 
6.txt,358.jpg 996.jpg 1020.jpg 1758.jpg 1289.jpg 1465.jpg 1320.jpg 33.jpg 555.jpg 1625.jpg 1855.jpg 1584.jpg 217.jpg 535.jpg 1458.jpg 786.jpg 1734.jpg 1009.jpg 1768.jpg 1122.jpg 
7.txt,1949.jpg 975.jpg 448.jpg 481.jpg 1285.jpg 689.jpg 897.jpg 1660.jpg 685.jpg 1429.jpg 1135.jpg 1249.jpg 1239.jpg 1900.jpg 1155.jpg 136.jpg 1535.jpg 528.jpg 141.jpg 152.jpg 
8.txt,1397.jpg 1346.jpg 419.jpg 1948.jpg 719.jpg 1622.jpg 266.jpg 1557.jpg 134.jpg 1031.jpg 245.jpg 837.jpg 823.jpg 103.jpg 923.jpg 1901.jpg 1847.jpg 1817.jpg 1261.jpg 1918.jpg 
9.txt,274.jpg 1335.jpg 1696.jpg 1426.jpg 354.jpg 334.jpg 492.jpg 51.jpg 771.jpg 1968.jpg 330.jpg 526.jpg 1693.jpg 887.jpg 1118.jpg 814.jpg 614.jpg 1322.jpg 46.jpg 1830.jpg 
10.txt,953.jpg 1107.jpg 1955.jpg 1713.jpg 720.jpg 159.jpg 1611.jpg 1183.jpg 979.jpg 1366.jpg 1471.jpg 838.jpg 1840.jpg 445.jpg 1124.jpg 1866.jpg 184.jpg 1724.jpg 649.jpg 883.jpg 
11.txt,1943.jpg 1402.jpg 1837.jpg 82.jpg 389.jpg 1355.jpg 321.jpg 426.jpg 846.jpg 1700.jpg 106.jpg 1382.jpg 1500.jpg 588.jpg 137.jpg 554.jpg 1968.jpg 1335.jpg 46.jpg 1830.jpg 
12.txt,1653.jpg 1954.jpg 845.jpg 743.jpg 1831.jpg 824.jpg 750.jpg 1101.jpg 1063.jpg 1765.jpg 1189.jpg 1595.jpg 732.jpg 506.jpg 413.jpg 1288.jpg 1126.jpg 212.jpg 374.jpg 207.jpg 
13.txt,1153.jpg 1122.jpg 1216.jpg 908.jpg 458.jpg 910.jpg 786.jpg 1655.jpg 1465.jpg 486.jpg 1458.jpg 489.jpg 1584.jpg 259.jpg 1885.jpg 1855.jpg 1758.jpg 718.jpg 555.jpg 712.jpg 
14.txt,358.jpg 996.jpg 1020.jpg 1758.jpg 1289.jpg 1465.jpg 1320.jpg 33.jpg 555.jpg 1625.jpg 1855.jpg 1584.jpg 217.jpg 535.jpg 1458.jpg 786.jpg 1734.jpg 1009.jpg 1768.jpg 1122.jpg 
15.txt,668.jpg 644.jpg 247.jpg 968.jpg 738.jpg 482.jpg 139.jpg 314.jpg 80.jpg 1645.jpg 967.jpg 1999.jpg 1141.jpg 1192.jpg 1959.jpg 1114.jpg 1494.jpg 1369.jpg 1102.jpg 1757.jpg 
16.txt,734.jpg 1127.jpg 914.jpg 670.jpg 31.jpg 1971.jpg 1415.jpg 416.jpg 37.jpg 1646.jpg 1318.jpg 1736.jpg 1504.jpg 1774.jpg 52.jpg 1599.jpg 1098.jpg 1433.jpg 972.jpg 620.jpg 
17.txt,838.jpg 1471.jpg 1366.jpg 775.jpg 24.jpg 323.jpg 1390.jpg 248.jpg 883.jpg 511.jpg 539.jpg 1611.jpg 781.jpg 1183.jpg 1533.jpg 322.jpg 1927.jpg 1135.jpg 42.jpg 152.jpg 
18.txt,650.jpg 605.jpg 432.jpg 1819.jpg 1530.jpg 1463.jpg 320.jpg 1535.jpg 1135.jpg 1528.jpg 1279.jpg 1953.jpg 152.jpg 944.jpg 1218.jpg 141.jpg 677.jpg 1429.jpg 1450.jpg 1660.jpg 
